""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"VASN"	30337	11606	14713	4585	9810	3127	6140	6879	8708
"VASP"	8775	4684	7618	11161	15297	3390	5091	8191	3876
"VAT1"	10291	5981	8784	10900	12188	3117	5891	17571	6376
"VAT1L"	190	52	35	59	142	50	4	97	120
"VAV1"	1790	507	331	825	1565	1169	436	912	276
"VAV2"	5635	2874	1897	725	6239	725	1898	5235	4426
"VAV3"	6313	772	1365	483	1023	226	3257	407	93
"VAV3-AS1"	4	1	0	1	0	0	0	0	0
"VAX1"	1	0	0	6	0	0	99	0	0
"VAX2"	1006	315	1169	47	24	327	258	77	159
"VBP1"	3722	1339	3251	2464	3023	671	1435	3348	1246
"VCAM1"	3926	719	1192	1544	2079	621	139	2969	1572
"VCAN"	22409	5290	4976	7636	17130	4926	2337	11146	16483
"VCAN-AS1"	1	0	0	1	1	2	0	0	5
"VCL"	34041	16388	21661	20566	34709	12622	14553	24724	10481
"VCP"	23679	13005	14395	14950	29358	8179	11909	27309	13830
"VCPIP1"	2311	2126	2036	2268	2424	816	1550	2831	1422
"VCPKMT"	851	173	459	559	504	407	386	479	632
"VCX"	1	0	7	15	0	0	3	1	72
"VCX2"	0	0	0	2	0	0	0	0	1
"VCX3A"	1	0	0	0	1	1	1	1	1
"VCX3B"	0	0	0	1	3	1	1	1	2
"VCY"	0	0	0	0	0	0	0	0	0
"VCY1B"	0	0	0	0	0	0	0	0	0
"VDAC1"	19854	16774	7066	10658	10997	3512	4540	19456	4337
"VDAC1P1"	63	49	13	42	30	3	10	43	7
"VDAC1P10"	0	0	0	0	0	0	0	1	2
"VDAC1P11"	6	5	2	4	27	1	7	2	4
"VDAC1P12"	1	0	0	0	0	0	0	0	0
"VDAC1P13"	5	0	0	0	1	1	9	1	0
"VDAC1P2"	15	14	8	8	5	1	5	18	2
