Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2
FRMD4A	57.81750686	73.55800845	49.31923782	71.89460431	43.21756185	52.74025927	256.1732314	1094.097795
FRMD8	197.3732828	150.7395951	28.9702418	141.1237411	162.813157	247.2516889	271.9483575	170.7725366
FZD2	40.20305932	10.76683514	13.86980966	6.482478073	11.61080204	455.2912189	409.5554813	777.4188883
FZD3	121.5674974	138.3505755	50.26515479	39.04159069	38.82769283	39.70835546	32.63242659	195.3507704
GAL3ST4	69.54706802	72.93354863	335.5930908	238.0119755	36.41518352	44.09898382	40.44995594	141.0660169
GALR1	2.661554274	4.348941107	3.908160923	6.212037366	3.69898121	4.179834102	4.897631255	8.968861076
GFI1	27.63680315	25.20303785	293.640883	132.9727705	394.3207649	19.38352568	24.66700128	26.60841604
GGT5	11.49823256	9.101161188	12.99967839	9.261514296	13.68021641	11.13018839	290.2150742	407.7940357
GIPR	8.245074698	8.69890136	10.90883943	5.19508538	11.72814867	8.506723418	31.73041766	23.65144355
GNG7	768.0078466	1494.305763	133.5514698	104.2562884	53.08765217	112.449475	94.49057817	243.4861493
GNLY	9.016559093	14.52025513	3732.536058	1198.37505	23235.35012	19.94743339	20.40693277	15.74284151
GPC4	126.6902267	73.41170643	43.02443597	77.95639785	42.58445228	56.14456485	129.3188315	145.8719106
GPR1	3.129845825	4.79850122	1.559283973	1.244201526	1.863695454	5.245664557	0.972464723	0.453354164
GPR171	33.51495052	22.98219258	924.3717963	969.236538	1041.132076	14.67922106	25.51768362	54.79422344
GPR18	3056.84082	1822.014185	1037.066376	678.2573057	2025.829576	109.6660347	51.61492393	54.63497421
GPR183	275.8348106	2308.149818	630.5280037	3012.768061	201.5996553	196.979149	1631.804333	2474.434424
GPR19	27.02537152	36.08351025	40.61246787	71.86055345	65.65533364	19.81202335	10.56154776	11.00115106
GPR25	4.292572754	29.42735453	28.7191378	138.1919025	21.43533197	14.04592183	27.36083709	14.41666747
GPR65	507.5709281	490.2704567	1518.573945	1499.931247	2137.237334	1473.160908	263.7450621	993.5543835
GPR97	154.4101049	141.428644	104.9389313	138.4573773	418.1169425	71.26388228	137.5495819	92.19065542
GRAP2	12.62708927	15.00203046	280.9234111	269.2219489	307.2558216	11.82509864	15.99426095	20.12785138
GSTT1	6.958858985	12.48982331	18.64410933	14.99403456	15.76945271	17.31196185	82.52506061	520.5704059
GUSBP11	8048.07448	10388.03123	521.3361484	151.2654723	98.43888337	43.51505491	14.61435957	286.719961
GYPE	38.71816582	61.40275529	26.87927605	3.69898121	24.75298907	6.627731906	7.071638638	13.09271261
GZMA	204.958358	217.1903236	6301.839315	4034.52042	22380.29444	132.0433731	109.7080589	68.0390322
GZMB	102.255299	68.32230989	2080.697741	58.9177582	23235.35012	61.71915165	159.2974346	111.0281937
GZMH	21.35853068	33.95743123	8555.821981	630.7749174	7419.827913	36.90093477	15.89364427	14.88173325
GZMK	184.0395826	278.1808222	8814.387272	3724.329794	233.6749633	67.13748264	107.0724606	24.66700128
GZMM	6.305414565	16.45527256	1048.989355	884.0128037	2616.387026	13.20630847	29.38087813	10.33284771
HAL	380.2322774	308.5027329	84.17530879	75.48182942	96.12281291	877.1793038	90.95985764	76.24018935
HCK	273.5706061	489.3443473	106.4569423	80.31784648	184.1658664	7368.002228	8146.586422	4811.755806
HDC	147.9736788	177.8451002	123.8596636	118.9595662	150.8083027	129.5522336	200.9810494	172.2889652
HESX1	6.869435614	5.810228378	7.046990167	5.971548735	9.195676707	8.365084929	2324.301051	100.3133583
HHEX	4489.488986	2773.84053	139.0353705	105.0214682	202.8459866	1914.137567	66.50542817	566.3249387
HIC1	5.092351833	4.093578948	8.159927666	5.971548735	41.82249473	7.017818913	12.57775597	6.223850888
HIST1H2AE	35.26722995	21.8243194	29.91298037	45.64822436	6.198523194	8.28188422	6.332890006	9.272327825
HIST1H2BG	17.44318854	42.30455978	78.31604621	190.054614	11.21409988	23.39236935	10.13745863	8.737345423
HK3	12.94364358	9.44765425	21.81413027	12.81515335	32.40772779	3103.136582	31.97610013	159.1217051
